Query - FOOD
LEVELS - 3

('(', 'Netlabels', ', ', 'Open content', ')')
('(', 'Netlabels', ', ', 'Netlabels', ')')
('(', 'Popular culture', ', ', 'Popular culture', ')')
('(', 'Popular culture', ', ', 'Media studies', ')')
('(', 'Popular culture', ', ', 'Youth', ')')
('(', 'Rock music', ', ', 'Rock music', ')')
('(', 'Rock music', ', ', 'Rock music genres', ')')
('(', 'Rock music', ', ', '20th-century music genres', ')')
('(', 'Rock music', ', ', '21st-century music genres', ')')
('(', 'Rock music', ', ', 'American culture', ')')
('(', 'Rock music', ', ', 'British culture', ')')
('(', 'Rock music', ', ', '1950s fads and trends', ')')
('(', 'Rock music', ', ', 'Musical improvisation', ')')
('(', 'Rock music', ', ', 'Popular music', ')')
('(', 'Rock music', ', ', 'Rock music', ')')
('(', 'Rock music', ', ', 'Rock music genres', ')')
('(', 'Rock music', ', ', '20th-century music genres', ')')
('(', 'Rock music', ', ', '21st-century music genres', ')')
('(', 'Rock music', ', ', 'American culture', ')')
('(', 'Rock music', ', ', 'British culture', ')')
('(', 'Rock music', ', ', '1950s fads and trends', ')')
('(', 'Rock music', ', ', 'Musical improvisation', ')')
('(', 'Rock music', ', ', 'Popular music', ')')
('(', 'Rock music', ', ', 'Rock music', ')')
('(', 'Rock music', ', ', 'Rock music genres', ')')
('(', 'Rock music', ', ', '20th-century music genres', ')')
('(', 'Rock music', ', ', '21st-century music genres', ')')
('(', 'Rock music', ', ', 'American culture', ')')
('(', 'Rock music', ', ', 'British culture', ')')
('(', 'Rock music', ', ', '1950s fads and trends', ')')
('(', 'Rock music', ', ', 'Musical improvisation', ')')
('(', 'Rock music', ', ', 'Popular music', ')')
('(', 'Arts in the United States', ', ', 'American art', ')')
('(', 'Arts in the United States', ', ', 'Art by country', ')')
('(', 'Arts in the United States', ', ', 'Western art', ')')
('(', 'American studies', ', ', 'American studies', ')')
('(', 'American studies', ', ', 'Area studies', ')')
('(', 'Mass media', ', ', 'Mass media', ')')
('(', 'Mass media', ', ', 'Promotion and marketing communications', ')')
('(', '21st-century music genres', ', ', '21st-century classical music', ')')
('(', '21st-century music genres', ', ', 'Contemporary classical music', ')')
('(', '21st-century music genres', ', ', '21st-century classical music', ')')
('(', '21st-century music genres', ', ', 'Contemporary classical music', ')')
('(', 'Electronic music record labels', ', ', 'Lists of record labels', ')')
('(', 'Electronic music record labels', ', ', 'Electronic music record labels', ')')
('(', 'Live music', ', ', 'Record label stubs', ')')
('(', 'Live music', ', ', 'Record labels established in 2006', ')')
('(', 'Rock Concert', ', ', 'Rock music', ')')
('(', 'Rock Concert', ', ', 'Live music', ')')
('(', '20th century', ', ', '20th century', ')')
('(', '20th century', ', ', '2nd millennium', ')')
('(', '20th century', ', ', 'Centuries', ')')
('(', '20th century', ', ', 'Modern history', ')')
('(', 'Beggars Group', ', ', 'Beggars Group', ')')
('(', '20th-century music genres', ', ', '20th century in music', ')')
('(', '20th-century music genres', ', ', '20th century', ')')
('(', '20th-century music genres', ', ', 'Contemporary music', ')')
('(', '20th-century music genres', ', ', 'Rock music', ')')
('(', '20th-century music genres', ', ', '20th century in music', ')')
('(', '20th-century music genres', ', ', '20th century', ')')
('(', '20th-century music genres', ', ', 'Contemporary music', ')')
('(', '20th-century music genres', ', ', 'Rock music', ')')
('(', 'British culture', ', ', 'British culture', ')')
('(', 'British culture', ', ', 'British culture', ')')
('(', 'Contemporary music', ', ', 'Contemporary classical music', ')')
('(', 'Contemporary music', ', ', 'Contemporary music', ')')
('(', 'Contemporary music', ', ', 'Classical music', ')')
